,precision,recall,f1-score,support
Carambola,1.0,1.0,1.0,24.0
Pitaya,1.0,1.0,1.0,30.0
apple,1.0,1.0,1.0,33.0
banana,1.0,1.0,1.0,28.0
cardboard,0.8787878787878788,0.9354838709677419,0.90625,31.0
compost,1.0,1.0,1.0,16.0
glass,0.8461538461538461,0.9361702127659575,0.8888888888888888,47.0
kiwi,1.0,1.0,1.0,28.0
mango,1.0,1.0,1.0,39.0
metal,0.8918918918918919,0.868421052631579,0.88,38.0
orange,1.0,1.0,1.0,30.0
paper,0.9459459459459459,0.9210526315789473,0.9333333333333332,38.0
peach,1.0,1.0,1.0,37.0
plastic,0.9111111111111111,0.82,0.8631578947368421,50.0
tamotoes,1.0,1.0,1.0,25.0
trash,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
accuracy,0.9548133595284872,0.9548133595284872,0.9548133595284872,0.9548133595284872
macro avg,0.9629515004515005,0.9634038188298474,0.9628102156432747,509.0
weighted avg,0.9556091324264213,0.9548133595284872,0.9546877979985984,509.0
